Begin Time - hh:mm:ss.ms	End Time - hh:mm:ss.ms	A_morph-cf-hts	A_morph-gls-en	A_morph-hn-hts	A_morph-msa-en	A_morph-txt-hts	A_morph-type	A_morph-variantTypes-en	A_phrase-gls-en	A_phrase-segnum-en	A_word-gls-en	A_word-pos-en	A_word-txt-hts	interlinear-text-comment-en	interlinear-text-title-en	
00:00:13.650	00:00:13.778								when the north wind and the sun were disputing	1	COND.AUX		kwami	North Wind and the Sun story	20200306
00:00:13.650	00:00:13.714	kwa	COND.AUX		<Not Sure>	kw	stem		when the north wind and the sun were disputing	1	COND.AUX		kwami	North Wind and the Sun story	20200306
00:00:13.714	00:00:13.778	-ami	3.M.PL.SBJ.POST		Attaches to any category	-ami	suffix		when the north wind and the sun were disputing	1	COND.AUX		kwami	North Wind and the Sun story	20200306
00:00:13.778	00:00:13.907								when the north wind and the sun were disputing	1	wind	v	zzutchibisa	North Wind and the Sun story	20200306
00:00:13.778	00:00:13.821	zzutchi	wind		n	zzutchi	root		when the north wind and the sun were disputing	1	wind	v	zzutchibisa	North Wind and the Sun story	20200306
00:00:13.821	00:00:13.864	-bii	M.PL		Noun	-bi	suffix		when the north wind and the sun were disputing	1	wind	v	zzutchibisa	North Wind and the Sun story	20200306
00:00:13.864	00:00:13.907	-sa	3.F.SG.POSS	1	Attaches to any category	-sa	suffix		when the north wind and the sun were disputing	1	wind	v	zzutchibisa	North Wind and the Sun story	20200306
00:00:13.907	00:00:14.036								when the north wind and the sun were disputing	1	north	n	sanzako	North Wind and the Sun story	20200306
00:00:13.907	00:00:13.971	sanza	north		n	sanza	root		when the north wind and the sun were disputing	1	north	n	sanzako	North Wind and the Sun story	20200306
00:00:13.971	00:00:14.036	-ko	F.SG		Noun	-ko	suffix		when the north wind and the sun were disputing	1	north	n	sanzako	North Wind and the Sun story	20200306
00:00:14.036	00:00:14.165	a	CONJ		<Not Sure>	a	root		when the north wind and the sun were disputing	1	CONJ		a	North Wind and the Sun story	20200306
00:00:14.165	00:00:14.229	isho	sun		n	isho	root		when the north wind and the sun were disputing	1			ishoko	North Wind and the Sun story	20200306
00:00:14.229	00:00:14.294	-ko	F.SG		Noun	-ko	suffix		when the north wind and the sun were disputing	1			ishoko	North Wind and the Sun story	20200306
00:00:14.294	00:00:14.423								when the north wind and the sun were disputing	1			guguruwakee	North Wind and the Sun story	20200306
00:00:18.420	00:00:18.720								who has a lot of strength	2	who		akwazaha	North Wind and the Sun story	20200306
