a 	[ʔa]	conjoins noun and verb phrases: ‘and’, ‘with’, ‘even’, ‘than’.	[CNJ]	CNJ
?a 	[ʔa]	bare 1excl post clitic.	[aux]	AUX
a, â 	[ʔaː]	ah!	[INJ]	INJ
a-  ha- 	[ʔa, ɦa]	a sequential auxiliary, broadly similar to ya- (less close to ka-).	[aux]	AUX
aa  	[ʔaʔḁ]/[ʔaʔa][ʔaʔḁ] 	bare 1excl post clitic.	[aux]	AUX
aa 	[ʔaʔa]	sky. 	[geo]	NOUN
aane 	[ʔaʔane]	to precede, go ahead.	[verb]	VERB
aangee 	[ʔaʔaŋɡ̊eʔe]	 to withhold from each other	[verb]	VERB
a’e  a’i 	[ʔaʔe, ʔaʔi]	‘no’	[INJ]	INJ
?a’ukwi  	[ʔaʔukʷi]	‘and then we …’ 	[aux]	AUX
a’umpi, -bii 	[ʔaʔumpʰi]	a boil or abscess. a swelling w white smelly puss that leaves a hole (abato).	[anat]	NOUN
a’unte-ko 	[ˈʔaʔuntʰeko]	gourd, ukibuyu, esp. if short &amp; round. Used to hold water. 	[bot][art]	NOUN
aba  	[ʔaba]	‘and then we …’.	[aux]	AUX
Abande-ko 	[ʔaˈband̥eko]	(a woman’s name) 		NAME
abato, -bii 	[ʔabato]	 sore. incl. a scrape or burn.	[anat]	NOUN
abesa 	[ʔabesa]	to move kuhama (place of residence)	[verb]	VERB
Abêya-ko 	[ʔabeːjako]	(a woman’s name)‘and then we would …’.		NAME
abikwi	[ʔabikʷi]			AUX
Abu-ko 	[ʔaˈbuko]	(a woman’s name)		NAME
adaranda-bii 	[ˈʔadaɺand̥abiʔi̥]	unripe ondoshibii berries, not yet edible 	[bot]	NOUN
aye!   	[ʔaˈȷ̈e]	ow!	[INJ]	INJ
afe 	[ʔafʷe]	stuff, possessions, now(?) generally understood to refer to beads	[art]	NOUN
agaagâ 	[ʔaɡaʔaɡaː]	to stutter	[verb]	VERB
agishewu	[ʔaˈɡiʃeu]	brother-in-law	[kin]	VERB
aha 	[ʔaɦa]	tooth, baby tooth, fang, tusk.	[anat]	NOUN
aha 	[ˈʔaɦa]	red velvet Trombidiid mite.	[bug]	NOUN
ahaaha-ko, -bee  	[ʔaɦaʔaɦako]	the rectum or anal canal.	[anat]	NOUN
aho (awo) 	[ʔaɦo] []	(1) as an answer to a question: aho ‘I don’t know’.(2) aho-io (ahu-) to be up to someone, &gt; ‘maybe’, ‘perhaps’ (labda).	[INJ]	INJ
ahu, -bii 	[ʔaɦu]	 skin. Pl ~ of pl animals.(no pl.) honey in the big holes, covered.	[anat]	NOUN
ahume-ko 	[ˈʔaɦumeko]	sp. plant; a bit like a small ng’ang’a (a thick trunk w/o much in the way of leaves) about a foot tall which has a large deep red fruit the size of an apple. Homonym w ‘urine’ below. 	[bot]	NOUN
ahumi-bii 	[ˈʔaɦumibiʔi̥]	urine	[anat]	NOUN
ahho\ 	[ˈʔaxo] 	a variant pronunciation of akho ‘genitals’ and akho ‘I dunno’.	[anat]	NOUN
ayiya-ko 	 [ʔaiako] 	mother	[kin]	NOUN
aka 	[ʔaˈka] []	but.	[CNJ]	CNJ
akakaane 	[ʔakakaʔane]	See aane	[kin]	NOUN
Akara 	[ʔaˈkaɺa]	(a man’s name) 		NAME
akasume-bee  	[akasumebeʔe̥] [geo]	something big.		NOUN
akatchoko-ko 	[ʔakaˈʧʰokoko]	his or her grandmother or grand-aunt, with any number of ‘greats’; by extension, (great) grand-daughter, grand-niece. Default reading is higher generation; the inverse Bantu reading requires a disambiguating context.(1) grandfather, grand-uncle, with any number of ‘great’s. (FaFa, FaFaBr, MoFa, MoFaBr, etc.)(2) maternal uncle (older or younger than mother). (MoBr)(3) grandson, grandnephew, with any number of ‘greats’ (Bantu inverse of (1). Also sororal nephew, inverse of (2).)‘Grandfather’ is default reading; reading of ‘grandson’ requires a disambiguating context. Can be used in the vocative for any of the three relationships. 	[kin]	NOUN
akaye ~ akaye	[ʔakaȷ̈e]	"1) grandfather, grand-uncle, with any number of ‘great’s. (FaFa, FaFaBr, MoFa, MoFaBr, etc.)
(2) maternal uncle (older or younger than mother). (MoBr)
(3) grandson, grandnephew, with any number of ‘greats’ (Bantu inverse of (1). Also sororal nephew, inverse of (2).)"	[kin]	NOUN
ake 	[ʔake] 	thirst.		NOUN
aku  	[ʔaku]	(1) [with a following noun] what kind?, which?(2) [without a following noun] none, not even, he didn’t do it.	[DEM]	DEM
ak?u a—  	[ʔaku ʔaːː] 	isitoshe na— (said with ‘thinking’ prosody)	[other]	OTHER
ak?u’i 	[ʔakuʔi]	already, when had,	[adv?]	UNKNOWN
akhana-bee 	[ʔakʰanabeʔe̥]	name(s), jina [pl only].	[art]	NOUN
a khe 	[ʔakʰe]	kumbe [vot contrasts with ake ‘thirst’. may be stressed as two words; khe does not occur alone but is also found in e khe.] 	[INJ]	INJ
akheta-ko 	[ʔaˈkʰetako]	butt, tako, rungu (of a person, stick, etc.)	[anat]	NOUN
akho  ahho, -bii 	[ʔakʰo, ʔaxo]	(no VH) male genitals [everything; pl ~ of 2 people]. 	[anat]	NOUN
akh?o 	[ʔakʰo] 	(1) found for some inflections of akhwa.(2)  I dunno, none.	[inj]	INJ
akwa  	[ʔakʷa]	 ‘and then she …’. See a-. Or possibly the bare 3fsg post cliticneg. See akhwa. (expected bare 3fsg post+sjv clitic.	[aux]	AUX
akwaza  akuwaza 	[ʔakʷaʣa, ʔakuaʣa]	who? what? See under aku.	[DEM]	DEM
ak?webi, -ko, -bee 	[ʔakʷebi]	very many (more than aso).‘and then they would …’.		UNKNOWN
akwi’a  akwî’a  aku’i’a  	[ʔakʷiʔa, ʔakʷiːʔa, ʔakuʔiʔa]	what? See aku.	[DEM]	DEM
akwiko  	[ʔakʷiko]	‘and then she would …’. See a-.	[aux]	AUX
akwisi  	[ʔakʷisi]	‘and then they would …’. See a-. 	[aux]	AUX
