aa	[ʔaʔa]	sky. 	[geo]	NOUN
abato, -bii	[ʔabato]	 sore. incl. a scrape or burn.	[anat]	NOUN
adaranda-bii	[ˈʔadaɺand̥abiʔi̥]	unripe ondoshibii berries, not yet edible 	[bot]	NOUN
afe	[ʔafʷe]	stuff, possessions, now(?) generally understood to refer to beads	[art]	NOUN
aha	[ˈʔaɦa]	red velvet Trombidiid mite.	[bug]	NOUN
aha	[ʔaɦa]	tooth, baby tooth, fang, tusk.	[anat]	NOUN
ahaaha-ko, -bee 	[ʔaɦaʔaɦako]	the rectum or anal canal.	[anat]	NOUN
ahho	[ˈʔaxo] 	a variant pronunciation of akho ‘genitals’ and akho ‘I dunno’.	[anat]	NOUN
ahu, -bii	[ʔaɦu]	 skin. Pl ~ of pl animals.(no pl.) honey in the big holes, covered.	[anat]	NOUN
ahume-ko	[ˈʔaɦumeko]	sp. plant; a bit like a small ng’ang’a (a thick trunk w/o much in the way of leaves) about a foot tall which has a large deep red fruit the size of an apple. Homonym w ‘urine’ below. 	[bot]	NOUN
ahumi-bii	[ˈʔaɦumibiʔi̥]	urine	[anat]	NOUN
akasume-bee 	[akasumebeʔe̥]	something big.		NOUN
akatchoko-ko	[ʔakaˈʧʰokoko]	his or her grandmother or grand-aunt, with any number of ‘greats’; by extension, (great) grand-daughter, grand-niece. Default reading is higher generation; the inverse Bantu reading requires a disambiguating context.(1) grandfather, grand-uncle, with any number of ‘great’s. (FaFa, FaFaBr, MoFa, MoFaBr, etc.)(2) maternal uncle (older or younger than mother). (MoBr)(3) grandson, grandnephew, with any number of ‘greats’ (Bantu inverse of (1). Also sororal nephew, inverse of (2).)‘Grandfather’ is default reading; reading of ‘grandson’ requires a disambiguating context. Can be used in the vocative for any of the three relationships. 	[kin]	NOUN
akaye	[ʔakaȷ̈e]	1) grandfather, grand-uncle, with any number of ‘great’s.	[kin]	NOUN
ake	[ʔake] 	thirst.		NOUN
akhana-bee	[ʔakʰanabeʔe̥]	name(s), jina [pl only].	[art]	NOUN
akheta-ko	[ʔaˈkʰetako]	butt, tako, rungu (of a person, stick, etc.)	[anat]	NOUN
akho, ahho, -bii	[ʔakʰo, ʔaxo]	(no VH) male genitals [everything; pl ~ of 2 people]. 	[anat]	NOUN
akhwa 	[ˈʔakʷʰa]	(1) his/her/their(great) grandfather, grand-uncle, &amp; maternal uncle(2) by extension,his/her/their (great) grandson, grandnephew.	[kin]	NOUN
akhwa-ko, -bee 	[ʔakʷʰako]	(1) eye;(2) the bit of sinew twisted into the leading end of gunny-sack thread so it can be threaded through small beads 	[anat]	NOUN
akhwadu-ko 	[ʔakʷʰaˈduko]	the big Lappet tumbusi vulture, per Brian. 	[bird]	NOUN
akhwete, akhwi-ko, akhwe-bee, akhwi-bii 	[ˈʔakʷʰete]	his/her/their son, daughter, nephew, or niece; also grandson etc. Likely also son/daughter-in-law, per etymology and Berger Weyeweyeko 81.	[kin]	NOUN
