	Nouns	Verbs																															
Total roots:	1106	632																															
Total roots with 0 syllables:	0	0																															
Total roots with 1 syllables:	14	43																															
	0.012658227848101	0.068037974683544																															
Total roots with 2 syllables:	407	420																															
	0.367992766726944	0.664556962025316																															
Total roots with 3 syllables:	432	116																															
	0.390596745027125	0.183544303797468																															
Total roots with 4 syllables:	212	45																															
	0.191681735985533	0.07120253164557																															
Total roots with 5 syllables:	32	6																															
	0.028933092224232	0.009493670886076																															
Total roots with 6 syllables:	9	2																															
	0.008137432188065	0.003164556962025																															
Total phonemes in data:	6076	2761																															
																																	
Percentage	Nouns	Verbs																															
1 syllable:	0.012658227848101	0.068037974683544																															
2 syllables:	0.367992766726944	0.664556962025316																															
3 syllables:	0.390596745027125	0.183544303797468																															
4 syllables:	0.191681735985533	0.07120253164557																															
5 syllables:	0.028933092224232	0.009493670886076																															
6 syllables:	0.008137432188065	0.003164556962025																															
																																	
																																	
a frequency:	1206	464																															
a percentage of total phonemes:	19.85	16.81																															
Frequency at syllable #1:	409	198					Short Vowels Percentage Frequency	Nouns 	Verbs																								
Frequency at syllable #2:	429	166					a 	19.85	16.81																								
Frequency at syllable #3:	235	77					e	6.81	7.97																								
Frequency at syllable #4:	118	19					u	7.34	7.79																								
Frequency at syllable #5:	14	3					I	9.63	7.06																								
Frequency at syllable #6:	1	1					o	7.74	7.24																								
e frequency:	414	220					TOTAL:	51.37	46.87																								
e percentage of total phonemes:	6.81	7.97																															
Frequency at syllable #1:	107	96					Long Vowels Percentage Frequency	Nouns 	Verbs																								
Frequency at syllable #2:	145	93					â	0.3	1.41																								
Frequency at syllable #3:	115	21					ê	0.2	1.16																								
Frequency at syllable #4:	35	6					û	0.28	1.2																								
Frequency at syllable #5:	8	3					ô	0.18	1.2																								
Frequency at syllable #6:	4	1					î	0.12	0.8																								
u frequency:	446	215					TOTAL:	1.08	5.77																								
u percentage of total phonemes:	7.34	7.79																															
Frequency at syllable #1:	188	125																															
Frequency at syllable #2:	150	66						Nouns	Verbs																								
Frequency at syllable #3:	86	18					Short vowels	51.37	46.87																								
Frequency at syllable #4:	18	6					Long vowels	1.08	5.77																								
Frequency at syllable #5:	3	0																															
Frequency at syllable #6:	1	0																															
i frequency:	585	195						Nouns	Verbs																								Total Frequency Perc
i percentage of total phonemes:	9.63	7.06					bb	0	0.07	0.035																						ns	0
Frequency at syllable #1:	206	89					tsh	0	0.22	0.11																						ng'w	0.01
Frequency at syllable #2:	184	82					ns	0	0	0																						bb	0.035
Frequency at syllable #3:	138	17					ng'w	0.02	0	0.01																						ngw	0.045
Frequency at syllable #4:	44	6					nx	0.05	0.58	0.315																						mp	0.07
Frequency at syllable #5:	11	1					ngw	0.05	0.04	0.045																						ng'	0.1
Frequency at syllable #6:	2	0					mp	0.1	0.04	0.07																						tsh	0.11
o frequency:	470	200					tl	0.12	0.54	0.33																						gw	0.125
o percentage of total phonemes:	7.74	7.24					ggw	0.13	0.43	0.28																						ny	0.125
Frequency at syllable #1:	163	106					c	0.13	0.29	0.21																						nj	0.15
Frequency at syllable #2:	168	72					ch	0.13	0.29	0.21																						nk	0.16
Frequency at syllable #3:	98	19					nc	0.13	0.58	0.355																						khw	0.17
Frequency at syllable #4:	36	3					tlh	0.16	0.62	0.39																						j	0.17
Frequency at syllable #5:	4	0					ng'	0.16	0.04	0.1																						nz	0.18
Frequency at syllable #6:	1	0					nj	0.16	0.14	0.15																						c	0.21
â frequency:	18	39					xh	0.18	0.62	0.4																						ch	0.21
â percentage of total phonemes:	0.3	1.41					nq	0.18	0.4	0.29																						z	0.21
Frequency at syllable #1:	11	2					nk	0.18	0.14	0.16																						z	0.21
Frequency at syllable #2:	5	28					khw	0.2	0.14	0.17																						nt	0.245
Frequency at syllable #3:	2	5					gw	0.21	0.04	0.125																						ts	0.27
Frequency at syllable #4:	0	3					ts	0.21	0.33	0.27																						f	0.275
Frequency at syllable #5:	0	1					ny	0.21	0.04	0.125																						ggw	0.28
Frequency at syllable #6:	0	0					xx	0.23	0.83	0.53																						nq	0.29
ô frequency:	11	33					qh	0.28	1.01	0.645																						nx	0.315
ô percentage of total phonemes:	0.18	1.2					z	0.28	0.14	0.21																						tl	0.33
